This file includes all known homonyms that should not be considered as name matches
nameCache;author1;author2
Hannonia;Braun-Blanq. & Maire;Hoek, 1881
Harpella;L. Léger & Duboscq;Schrank, 1802
Helix;Mitch.;Linnaeus, 1758
Helminthia;Juss.;Handmann, 1882
Helotium;Pers.;Tode, 1790
Hermione;Salisb.;Blainville, 1828
Heterocarpus;Phil.;A. Milne-Edwards, 1881
Heterococcus;Ferris, 1918;Chodat, 1908
Heteropoda;Latreille, 1804;Lamarck, 1812
Heteroptera;Macquart, 1835;;Genus;Suborder
Holopedium;Zaddach, 1855;Lagerheim, 1893
Hyalea;(DC.) Jaub. & Spach;[sic]
Hypoderma;De Not.;Latreille, 1818
Isias;De Not.;Boeck, 1865
Kentrophyllum;DC.;Petz, Song & Wilbert, 1995
Kleinia;Mill.;Gray, 1851
Lacrymaria;Pat.;Bory de St. Vincent, 1824
Lacrymaria;Pat.;Ehrenberg, 1830
Lagena;Vanterp. & Ledingham;Walker & Jacob, 1798
Lamarckia;Moench;Leach, 1852
Lamarckia;Moench;G.Olivi, 1792
Lathyrus;L.;[sic]
Lepidoderma;de Bary;Zelinka, 1889
Lepidophyllum;Trinajstić;Odhner, 1902
Leptoderma;G. Lister;Vaillant, 1886
Leptonema;Hook.;Reinke, 1888
Leptotheca;Schwägr.;Thélohan, 1895
Leptothrix;Menge, 1869;Kützing, 1843
Leria;Adans.;Robineau-Desvoidy, 1830
Lesquerella;S. Watson;Chardez & Thomas, 1980
Leucopsis;Dummeril, 1823;Greuet, 1968
Leucostoma;(Nitschke) Höhn.;Meigen, 1803
Ligia;Fasano;Fabricius, 1798
Liparis;Rich.;Scopoli, 1777
Listerella;E. Jahn;Cushman, 1933
Lobaria;(Schreb.) Hoffm.;O. F. Müller, 1776
Lobophora;Curtis, 1825;J.Agardh, 1894
Lobularia;Desv.;Lamarck, 1816
Ludwigia;L.;Reiffen, 1901
Macrura;(Kraenzl.) Szlach. & Sawicka;Latreille, 1802
Massalongia;Körb.;Kieffer, 1897
Mastigophora;Nees;
Melanochaeta;E. Müll., Harr & Sulmont;Bezzi, 1906
Melanogaster;Corda;Rondani, 1857
Melanotus;Pat.;Eschscholtz, 1829
Meria;Vuill.;Illiger, 1807
Mertensia;Roth;Lesson, 1829
Mesoneura;Hartig, 1837;Brenzinger, Schrödl & Kano, 2021
Metschnikowia;T. Kamieński;Grimm, 1876
Metzgeria;Raddi;Norman, 1879
Microporus;P. Beauv.;Uhler, 1876
Microstoma;Bernstein;Cuvier, 1816
Micrura;;Ehrenberg, 1828;Subclass;Genus
Milesia;F.B. White;Latreille, 1804
Minuscula;Rohacek & Marshall, 1986;Lebour, 1925
Mitrophora;Lév.;Neck.
Modiola;Moench;[sic]
Mollia;Willd.;Lamouroux, 1816
Monascus;Tiegh.;Looss, 1907
Monorchis;Ség.;Monticelli, 1893
Monorchis;Ség.;Clerc, 1902
Monorchis;Ehrh.;Monticelli, 1893
Monorchis;Ehrh.;Clerc, 1902
Morus;L.;Vieillot, 1816
Mucronella;Fr.;Hincks, 1880
Myina;Nees, 1834;Stoliczka, 1870
Myriactis;Less.;Kützing, 1843
Nemastoma;C.L.Koch in Hahn & C.L.Koch, 1836;J.Agardh, 1842
Nerine;Herb.;Johnston, 1838
Nidularia;Fr.;Targioni Tozzetti, 1868
Nitzschia;Baer, 1826;A.H. Hassall, 1845
Nitzschiella;Keler, 1939;L. Rabenhorst, 1864
Normania;Lowe;Boeck, 1871
Normania;Lowe;Bowerbank, 1869
Normania;Lowe;Brady, 1866
Oenanthe;L.;Vieillot, 1816
Oligochaeta;(DC.) K. Koch;Grube, 1850
Oxynema;Linstow, 1899;Chatchawan, Komárek, Strunecky, Smarda & Peerapornpisal, 2012
Oxyporus;(Bourdot & Galzin) Donk;Fabricius, 1775
Pandora;Humber;Bruguière, 1797
Patellaria;Fr.;J. T. Williams, A. J. Scott & Ford-Lloyd
Patellina;Grove ex Petch;Williamson, 1858
Patinella;Sacc.;Gray, 1848
Perigrapha;Hafellner;Lederer, 1857
Petersenia;Gozmány, 1960;Sparrow, 1934
Peziza;Dill. ex Fr.;Pers., 1801
Phaeoceros;Prosk.;
Phalangium;Mill.;Linnaeus, 1758
Phaseolus;L.;Monterosato, 1875
Phippsia;(Trin.) R. Br.;Stebbing, 1906
Phloeospora;Wallr.;Areschoug, 1873
Phyllitis;Hill;Kützing, 1843
Phyllodoce;Salisb.;Ranzani, 1817
Phyllodoce;Salisb.;Lamarck, 1818
Phylloporia;Murrill;Heinemann, 1870
Pilidium;Kunze;Middendorff, 1851
Pilophorus;Th. Fr.;Hahn, 1826
Plumaria;Reitter in Heyden, Reitter & Weise, 1883;F.Schmitz, 1896
Polyarthra;Ehrenberg, 1834;Lang, 1944
Polynema;Lév.;Haliday, 1833
Pontoporeia;Krøyer, 1842;Kohlm., 1963
Porella;L.;Gray, 1848
Porella;L.;Schiller, 1928
Poria;Pers.;Lang, 1965
Postia;Fr.;Boiss. & C. I. Blanche
Psammina;Sacc. & M. Rousseau ex E. Bommer & M. Rousseau;Haeckel, 1889
Pseudochlamys;Comas, 1977;Claparède & Lachmann, 1860
Pseudoclausia;Popov;Bocquet & Stock, 1960
Pseudographis;Nyl.;Mifsud, 1998
Pseudotrichia;Kirschst.;Schileyko, 1970
Pteridium;Scop.;De Filippi & Vérany, 1857
Ptilophora;Stephens, 1828;Kützing, 1847
Pycnoporus;P. Karst.;Looss, 1899
Radicula;Moench;Christiansen, 1958
Radula;Dumort.;Mörch, 1853
Rhipidophora;Hübner, 1822;F.T. Kützing, 1844
